Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: , SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: , ÈEŠKA BESEDA KONÈANICA , MATICA SLOVAÈKA JOSIPOVAC , ÈEŠKA BESEDA SISAK  ;Kandidat: dr.sc. IVAN DANJEK, dipl.ing. agr., Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: IVAN KOMAK, Predlagatelj: SAVEZ SLOVAKA - ZVAZ SLOVAKOV - SSL-ZSL;Kandidat: JAROSLAV VOJTA, mag.prava, Predlagatelj: NEOVISNI KANDIDAT 
XII. IZBORNA JEDINICA;7;KLINÈA SELA;16;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KRAŠIÆ;13;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KRNJAK;5;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;LASINJA;7;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;LOKVE;1;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;MRKOPALJ;2;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;NETRETIÆ;16;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;PISAROVINA;10;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;PLAŠKI;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;RAKOVICA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;RAVNA GORA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;RIBNIK;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SABORSKO;1;1;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;7;SKRAD;1;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;STUPNIK;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;TOUNJ;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;VINODOLSKA OPÆINA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;VIŠKOVO;10;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;VOJNIÆ;12;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;ŽAKANJE;12;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;ŽUMBERAK;8;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;BUJE - BUIE;8;3;0;0;0;0;0;0;0;0;0
